;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost
1;76,32;110,11;66,18;39,98;34,36;32,26;27,67;26,12;;92,52;112,51;67,70;39,39;36,20;33,43;27,33;26,11;;84,43;106,31;65,94;39,70;35,78;35,85;33,50;30,62;;0,03;0,06;0,03;0,03;0,03;0,04;0,02;0,02;;0,04;0,08;0,04;0,04;0,03;0,03;0,03;0,03;;0,05;0,08;0,04;0,04;0,03;0,03;0,03;0,03;;6,84;9,63;4,66;3,68;3,58;3,52;3,39;3,31;;11,56;16,28;7,87;6,22;6,04;5,93;5,87;5,60;;7,08;12,79;5,06;4,71;4,33;3,25;3,19;3,14
2;76,15;107,86;64,73;39,77;34,17;32,24;27,62;26,13;;91,51;110,49;66,24;39,01;36,01;33,27;27,27;26,12;;84,08;104,19;64,51;39,28;35,67;35,74;33,32;30,55;;0,03;0,05;0,02;0,02;0,02;0,03;0,03;0,02;;0,05;0,08;0,05;0,04;0,03;0,04;0,02;0,04;;0,06;0,07;0,05;0,03;0,04;0,03;0,03;0,03;;6,78;9,54;4,62;3,65;3,56;3,49;3,39;3,30;;11,48;16,16;7,81;6,17;5,98;5,88;5,81;5,58;;7,08;12,65;4,97;4,63;4,30;3,24;3,20;3,14
3;76,05;106,74;64,01;39,69;34,08;32,23;27,58;26,13;;90,98;109,45;65,54;38,82;35,94;33,17;27,23;26,12;;83,94;103,10;63,78;39,07;35,61;35,71;33,21;30,48;;0,03;0,07;0,03;0,02;0,03;0,03;0,03;0,02;;0,05;0,06;0,05;0,04;0,04;0,03;0,04;0,03;;0,06;0,07;0,03;0,05;0,03;0,03;0,04;0,02;;6,75;9,52;4,60;3,63;3,54;3,49;3,40;3,30;;11,44;16,09;7,78;6,16;5,96;5,85;5,81;5,58;;7,08;12,60;4,94;4,59;4,29;3,24;3,18;3,13
4;75,97;105,63;63,31;39,57;33,99;32,22;27,54;26,11;;90,47;108,43;64,81;38,62;35,82;33,10;27,20;26,10;;83,77;102,04;63,06;38,84;35,54;35,65;33,12;30,46;;0,03;0,05;0,02;0,03;0,03;0,04;0,02;0,02;;0,05;0,08;0,05;0,04;0,04;0,02;0,02;0,04;;0,06;0,09;0,05;0,05;0,02;0,03;0,04;0,02;;6,72;9,47;4,60;3,63;3,53;3,48;3,38;3,31;;11,37;16,01;7,74;6,11;5,93;5,84;5,79;5,55;;7,08;12,51;4,91;4,55;4,28;3,24;3,19;3,13
5;75,86;104,53;62,59;39,48;33,89;32,21;27,52;26,12;;89,96;107,43;64,08;38,43;35,73;33,01;27,17;26,10;;83,60;100,96;62,32;38,63;35,48;35,62;33,01;30,41;;0,02;0,06;0,02;0,01;0,03;0,05;0,01;0,01;;0,03;0,07;0,03;0,04;0,03;0,04;0,04;0,02;;0,04;0,09;0,04;0,05;0,04;0,04;0,02;0,02;;6,72;9,45;4,57;3,60;3,50;3,48;3,39;3,31;;11,35;15,97;7,71;6,09;5,92;5,81;5,76;5,56;;7,07;12,44;4,88;4,49;4,26;3,23;3,19;3,12
6;75,79;103,39;61,85;39,37;33,81;32,19;27,48;26,10;;89,44;106,42;63,35;38,24;35,64;32,91;27,14;26,10;;83,42;99,92;61,61;38,41;35,43;35,57;32,93;30,38;;0,04;0,07;0,02;0,01;0,04;0,03;0,03;0,03;;0,04;0,07;0,05;0,05;0,03;0,03;0,02;0,04;;0,06;0,09;0,05;0,05;0,03;0,02;0,02;0,02;;6,68;9,40;4,56;3,59;3,50;3,48;3,38;3,30;;11,29;15,89;7,69;6,09;5,89;5,80;5,72;5,54;;7,08;12,38;4,82;4,45;4,24;3,23;3,20;3,12
7;75,70;102,27;61,14;39,26;33,70;32,19;27,45;26,12;;88,94;105,39;62,63;38,03;35,57;32,84;27,12;26,11;;83,24;98,83;60,88;38,22;35,37;35,52;32,82;30,32;;0,03;0,06;0,04;0,03;0,03;0,03;0,03;0,01;;0,03;0,06;0,03;0,05;0,02;0,02;0,04;0,02;;0,04;0,07;0,03;0,03;0,04;0,03;0,03;0,04;;6,66;9,35;4,53;3,59;3,48;3,47;3,39;3,30;;11,24;15,82;7,65;6,06;5,87;5,76;5,72;5,53;;7,07;12,31;4,79;4,43;4,22;3,23;3,19;3,12
8;75,59;101,17;60,42;39,17;33,61;32,16;27,40;26,12;;88,42;104,37;61,92;37,83;35,47;32,75;27,06;26,09;;83,09;97,76;60,16;37,98;35,31;35,47;32,73;30,27;;0,04;0,06;0,02;0,03;0,03;0,04;0,03;0,03;;0,05;0,08;0,03;0,04;0,02;0,02;0,02;0,03;;0,04;0,07;0,04;0,03;0,04;0,04;0,03;0,04;;6,64;9,32;4,52;3,56;3,48;3,45;3,39;3,29;;11,21;15,77;7,61;6,03;5,86;5,75;5,69;5,51;;7,08;12,25;4,75;4,39;4,21;3,23;3,18;3,11
9;75,51;100,05;59,68;39,08;33,53;32,16;27,39;26,10;;87,90;103,35;61,19;37,63;35,37;32,67;27,03;26,09;;82,93;96,70;59,46;37,79;35,24;35,42;32,63;30,23;;0,02;0,06;0,04;0,02;0,03;0,03;0,01;0,02;;0,03;0,06;0,05;0,04;0,02;0,02;0,04;0,03;;0,05;0,08;0,05;0,03;0,04;0,04;0,03;0,04;;6,60;9,29;4,49;3,55;3,45;3,46;3,38;3,29;;11,17;15,69;7,60;6,00;5,81;5,71;5,67;5,50;;7,07;12,18;4,72;4,35;4,20;3,20;3,17;3,12
10;75,43;98,92;58,97;38,98;33,43;32,16;27,36;26,10;;87,40;102,35;60,48;37,46;35,29;32,58;27,01;26,09;;82,74;95,63;58,73;37,58;35,18;35,36;32,52;30,20;;0,02;0,05;0,03;0,01;0,04;0,04;0,01;0,01;;0,05;0,07;0,05;0,03;0,04;0,03;0,02;0,03;;0,04;0,08;0,05;0,05;0,02;0,03;0,04;0,03;;6,58;9,25;4,46;3,53;3,45;3,43;3,39;3,30;;11,10;15,64;7,56;5,97;5,79;5,70;5,65;5,49;;7,06;12,10;4,68;4,30;4,18;3,21;3,19;3,12
