;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost;;LR;SVM;GR;DT;CNN;ANN;ANFIS;XGBoost
1;8,74;10,49;8,14;6,32;5,63;5,62;5,61;5,59;;9,62;10,12;8,11;6,28;6,18;6,13;5,52;5,51;;9,28;10,39;8,19;6,35;6,17;6,01;5,66;5,43;;0,00;0,01;0,01;0,00;0,00;0,01;0,00;0,00;;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;;0,01;0,02;0,01;0,01;0,01;0,00;0,00;0,00;;0,70;0,83;0,56;0,44;0,43;0,43;0,39;0,37;;0,91;1,08;0,73;0,57;0,56;0,55;0,55;0,46;;0,57;0,92;0,49;0,36;0,34;0,31;0,29;0,23
2;8,73;10,37;8,06;6,21;5,60;5,62;5,53;5,54;;9,56;10,03;8,03;6,25;6,14;6,09;5,45;5,46;;9,24;10,28;8,10;6,32;6,16;5,98;5,60;5,41;;-0,01;0,02;0,02;0,00;-0,01;0,01;0,01;0,01;;0,01;0,00;0,00;0,00;0,01;-0,01;0,01;0,00;;0,01;0,03;0,02;0,02;0,02;0,00;0,01;0,01;;0,70;0,82;0,56;0,43;0,44;0,42;0,40;0,36;;0,92;1,07;0,73;0,56;0,57;0,54;0,54;0,45;;0,57;0,92;0,48;0,37;0,33;0,32;0,28;0,22
3;8,74;10,31;8,00;6,15;5,60;5,59;5,52;5,49;;9,54;9,97;7,98;6,22;6,12;6,08;5,42;5,42;;9,23;10,23;8,05;6,33;6,15;5,96;5,56;5,38;;0,00;0,02;0,02;-0,01;0,01;0,00;0,00;0,01;;0,01;0,02;0,02;0,00;-0,01;-0,01;-0,01;0,00;;0,02;0,03;0,00;0,00;0,01;0,00;0,00;-0,01;;0,69;0,82;0,56;0,45;0,44;0,42;0,40;0,37;;0,91;1,06;0,71;0,56;0,55;0,55;0,54;0,46;;0,57;0,90;0,49;0,35;0,33;0,32;0,27;0,23
4;8,72;10,28;7,96;6,11;5,59;5,59;5,49;5,47;;9,51;9,91;7,91;6,23;6,08;6,07;5,41;5,40;;9,24;10,17;7,98;6,31;6,11;5,95;5,55;5,38;;-0,01;0,02;0,02;-0,01;0,01;0,01;0,01;0,01;;0,02;0,00;0,00;0,00;-0,01;0,01;0,01;-0,01;;0,02;0,02;0,00;0,00;0,01;-0,01;0,01;0,00;;0,68;0,83;0,57;0,44;0,42;0,42;0,40;0,38;;0,89;1,08;0,72;0,56;0,54;0,55;0,53;0,43;;0,55;0,90;0,47;0,35;0,33;0,29;0,26;0,24
5;8,73;10,20;7,92;6,05;5,59;5,59;5,46;5,43;;9,48;9,87;7,87;6,20;6,07;6,05;5,36;5,36;;9,20;10,12;7,93;6,30;6,11;5,93;5,50;5,35;;-0,01;0,00;0,02;0,00;0,01;0,00;0,00;-0,01;;0,00;0,00;0,02;0,02;-0,01;0,00;0,01;0,00;;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;;0,70;0,83;0,56;0,43;0,42;0,42;0,38;0,37;;0,90;1,08;0,72;0,55;0,54;0,54;0,53;0,43;;0,55;0,91;0,48;0,37;0,35;0,31;0,28;0,22
6;8,72;10,17;7,87;6,00;5,59;5,57;5,42;5,41;;9,46;9,82;7,82;6,18;6,03;6,02;5,33;5,33;;9,20;10,04;7,89;6,29;6,11;5,93;5,47;5,33;;-0,01;0,00;0,01;0,01;-0,01;0,02;-0,01;-0,01;;0,02;0,02;0,02;0,00;0,00;0,00;-0,01;-0,01;;0,01;0,01;0,00;0,00;0,01;-0,01;0,01;0,01;;0,68;0,82;0,56;0,43;0,43;0,42;0,40;0,36;;0,90;1,06;0,72;0,55;0,54;0,53;0,54;0,42;;0,55;0,90;0,48;0,36;0,33;0,29;0,28;0,23
7;8,73;10,09;7,82;5,95;5,57;5,56;5,37;5,36;;9,42;9,75;7,77;6,18;6,01;6,01;5,31;5,31;;9,20;9,99;7,84;6,26;6,09;5,89;5,44;5,33;;-0,01;0,01;0,02;0,01;0,01;0,02;0,01;-0,01;;0,00;0,01;0,01;0,00;0,00;-0,01;0,00;0,01;;0,02;0,03;0,01;0,00;0,02;0,01;0,01;0,01;;0,69;0,83;0,55;0,43;0,42;0,43;0,39;0,37;;0,89;1,06;0,72;0,56;0,56;0,55;0,53;0,42;;0,57;0,92;0,48;0,37;0,35;0,30;0,26;0,22
8;8,71;10,05;7,76;5,88;5,56;5,56;5,36;5,33;;9,40;9,70;7,75;6,14;6,01;5,98;5,28;5,26;;9,16;9,94;7,78;6,25;6,07;5,90;5,42;5,29;;-0,01;0,01;0,00;0,00;0,00;-0,01;-0,01;-0,01;;0,01;0,02;0,02;-0,01;0,00;0,01;0,00;0,01;;0,01;0,01;0,01;0,00;0,02;0,01;0,00;0,00;;0,68;0,82;0,55;0,43;0,41;0,43;0,38;0,37;;0,89;1,05;0,72;0,57;0,56;0,55;0,51;0,43;;0,55;0,90;0,48;0,35;0,33;0,31;0,26;0,23
9;8,70;9,99;7,72;5,83;5,55;5,56;5,33;5,30;;9,38;9,65;7,69;6,13;5,97;5,95;5,24;5,22;;9,17;9,90;7,72;6,25;6,07;5,87;5,39;5,29;;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,01;;0,02;0,01;0,00;0,01;0,01;-0,01;-0,01;0,01;;0,02;0,01;0,02;0,00;0,02;0,01;0,01;0,00;;0,69;0,81;0,56;0,43;0,43;0,42;0,37;0,35;;0,90;1,07;0,70;0,56;0,56;0,55;0,51;0,42;;0,56;0,91;0,49;0,34;0,34;0,30;0,26;0,23
10;8,71;9,93;7,68;5,78;5,54;5,54;5,28;5,26;;9,36;9,61;7,64;6,11;5,96;5,95;5,22;5,21;;9,14;9,83;7,69;6,24;6,06;5,86;5,35;5,26;;0,00;0,01;0,00;0,00;-0,01;0,01;0,00;-0,01;;0,02;0,02;0,02;-0,01;-0,01;0,01;-0,01;-0,01;;0,02;0,01;0,02;0,02;0,00;0,00;-0,01;0,00;;0,68;0,83;0,55;0,42;0,41;0,43;0,37;0,37;;0,89;1,05;0,71;0,56;0,54;0,53;0,51;0,40;;0,55;0,91;0,47;0,35;0,33;0,31;0,24;0,22
11;8,69;9,87;7,62;5,72;5,54;5,54;5,24;5,24;;9,32;9,54;7,59;6,11;5,93;5,91;5,18;5,16;;9,13;9,76;7,63;6,23;6,04;5,83;5,32;5,24;;0,01;0,02;0,00;-0,01;-0,01;0,01;-0,01;-0,01;;0,01;0,02;0,01;-0,01;0,00;0,01;0,01;0,00;;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;;0,68;0,82;0,55;0,42;0,43;0,41;0,37;0,35;;0,91;1,05;0,71;0,55;0,56;0,55;0,51;0,42;;0,57;0,91;0,47;0,34;0,32;0,31;0,24;0,21
12;8,69;9,84;7,57;5,69;5,52;5,54;5,23;5,21;;9,28;9,51;7,56;6,10;5,91;5,91;5,14;5,14;;9,11;9,72;7,59;6,21;6,04;5,82;5,29;5,24;;0,00;0,02;0,00;0,01;0,00;0,00;-0,01;-0,01;;0,02;0,02;0,01;0,01;-0,01;0,00;-0,01;0,01;;0,01;0,03;0,02;0,00;0,02;0,01;0,00;0,01;;0,68;0,80;0,55;0,44;0,43;0,41;0,37;0,36;;0,90;1,05;0,71;0,56;0,55;0,53;0,50;0,39;;0,54;0,91;0,47;0,35;0,33;0,30;0,24;0,22
13;8,70;9,76;7,54;5,64;5,52;5,52;5,19;5,18;;9,26;9,45;7,51;6,07;5,89;5,89;5,11;5,10;;9,11;9,67;7,52;6,19;6,01;5,80;5,26;5,23;;0,01;0,02;0,01;0,00;0,00;-0,01;0,00;0,00;;0,01;0,00;0,00;0,00;0,00;0,01;0,00;-0,01;;0,02;0,01;0,01;0,00;0,00;0,01;0,00;-0,01;;0,69;0,80;0,54;0,44;0,41;0,41;0,38;0,36;;0,90;1,05;0,69;0,55;0,53;0,53;0,51;0,40;;0,56;0,89;0,46;0,36;0,32;0,29;0,24;0,21
14;8,70;9,73;7,49;5,56;5,53;5,54;5,16;5,13;;9,24;9,40;7,45;6,07;5,85;5,88;5,08;5,07;;9,09;9,62;7,47;6,19;6,00;5,79;5,24;5,20;;0,01;0,01;0,00;0,01;0,00;-0,01;-0,01;-0,01;;0,01;0,01;0,01;-0,01;0,00;-0,01;0,01;-0,01;;0,01;0,03;0,01;0,00;0,01;0,01;0,00;0,00;;0,68;0,82;0,54;0,44;0,41;0,42;0,38;0,35;;0,89;1,06;0,70;0,54;0,53;0,53;0,48;0,39;;0,54;0,89;0,46;0,34;0,32;0,28;0,23;0,22
15;8,69;9,66;7,44;5,52;5,51;5,52;5,12;5,11;;9,21;9,34;7,41;6,04;5,84;5,85;5,06;5,05;;9,08;9,55;7,43;6,18;6,00;5,78;5,20;5,19;;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;;0,01;0,02;0,01;0,01;0,01;0,00;0,00;0,00;;0,68;0,81;0,55;0,43;0,42;0,42;0,38;0,36;;0,89;1,05;0,70;0,55;0,54;0,53;0,49;0,39;;0,55;0,89;0,47;0,35;0,33;0,29;0,23;0,22
16;8,69;9,59;7,41;5,52;5,49;5,52;5,11;5,10;;9,15;9,31;7,37;6,04;5,83;5,86;5,05;5,04;;9,06;9,52;7,39;6,17;5,96;5,76;5,16;5,18;;0,01;0,00;0,01;0,01;0,01;0,00;0,01;0,01;;0,01;0,00;0,02;0,01;-0,01;0,00;0,01;-0,01;;0,02;0,03;0,00;0,02;0,00;0,01;0,00;0,00;;0,69;0,81;0,55;0,43;0,41;0,42;0,38;0,37;;0,90;1,06;0,70;0,55;0,54;0,52;0,48;0,39;;0,56;0,89;0,48;0,36;0,34;0,29;0,22;0,21
17;8,68;9,53;7,35;5,53;5,51;5,53;5,10;5,07;;9,10;9,29;7,30;6,02;5,80;5,83;5,03;5,05;;9,04;9,46;7,34;6,16;5,93;5,75;5,16;5,17;;0,00;0,01;0,00;0,00;-0,01;0,01;-0,01;-0,01;;0,01;0,02;0,02;0,01;0,00;0,01;0,01;0,01;;0,01;0,03;0,01;0,02;0,00;0,01;0,00;-0,01;;0,67;0,81;0,55;0,43;0,43;0,42;0,38;0,35;;0,88;1,05;0,69;0,56;0,55;0,51;0,50;0,38;;0,54;0,88;0,47;0,36;0,32;0,27;0,23;0,23
18;8,70;9,48;7,33;5,51;5,49;5,52;5,07;5,07;;9,01;9,26;7,25;6,03;5,80;5,85;5,03;5,06;;9,03;9,44;7,30;6,14;5,89;5,71;5,12;5,17;;0,01;0,00;0,02;-0,01;0,00;-0,01;0,01;0,01;;0,00;0,01;0,01;-0,01;0,01;0,00;0,00;0,00;;0,00;0,02;0,02;0,02;0,00;-0,01;0,00;-0,01;;0,68;0,80;0,54;0,42;0,43;0,43;0,37;0,36;;0,89;1,04;0,70;0,56;0,53;0,51;0,49;0,38;;0,54;0,86;0,47;0,36;0,32;0,27;0,23;0,22
19;8,68;9,42;7,28;5,52;5,49;5,50;5,07;5,04;;8,95;9,25;7,21;6,02;5,78;5,84;5,03;5,04;;9,01;9,38;7,27;6,14;5,86;5,70;5,10;5,15;;0,00;0,00;0,02;0,01;0,00;-0,01;0,00;0,00;;0,00;0,01;0,00;0,01;-0,01;-0,01;0,00;-0,01;;0,02;0,01;0,02;0,01;0,00;-0,01;-0,01;0,00;;0,66;0,81;0,53;0,41;0,42;0,43;0,37;0,36;;0,88;1,04;0,68;0,54;0,55;0,52;0,47;0,40;;0,54;0,85;0,46;0,34;0,33;0,29;0,22;0,21
20;8,69;9,33;7,25;5,51;5,47;5,51;5,05;5,04;;8,90;9,22;7,16;5,99;5,75;5,83;5,01;5,05;;8,99;9,33;7,22;6,11;5,83;5,69;5,06;5,13;;0,01;0,02;0,01;0,00;0,01;0,00;0,00;0,01;;0,01;0,01;0,01;-0,01;-0,01;0,01;-0,01;-0,01;;0,00;0,02;0,00;0,01;0,01;0,00;0,00;-0,01;;0,66;0,81;0,53;0,43;0,42;0,43;0,38;0,36;;0,87;1,03;0,68;0,55;0,55;0,51;0,49;0,39;;0,54;0,85;0,46;0,36;0,33;0,27;0,23;0,21
21;8,69;9,28;7,22;5,50;5,48;5,52;5,05;5,04;;8,83;9,18;7,11;6,01;5,74;5,84;5,02;5,05;;8,99;9,31;7,20;6,10;5,80;5,67;5,05;5,13;;0,00;0,01;0,01;-0,01;0,01;0,01;0,00;0,00;;0,00;0,01;0,01;0,01;0,00;0,01;0,00;0,00;;0,00;0,01;0,00;0,01;0,01;-0,01;-0,01;0,00;;0,68;0,80;0,55;0,43;0,40;0,43;0,39;0,37;;0,88;1,03;0,69;0,56;0,54;0,50;0,47;0,39;;0,56;0,84;0,46;0,35;0,34;0,27;0,23;0,21
22;8,68;9,23;7,18;5,50;5,48;5,52;5,02;5,00;;8,78;9,16;7,06;6,00;5,73;5,82;4,99;5,05;;8,97;9,26;7,16;6,08;5,76;5,64;5,00;5,12;;0,00;0,00;0,02;0,00;0,01;-0,01;0,01;-0,01;;0,02;0,02;0,01;0,00;0,01;-0,01;0,00;-0,01;;0,02;0,02;0,02;0,02;0,02;0,00;0,00;0,01;;0,68;0,78;0,55;0,41;0,42;0,42;0,39;0,36;;0,88;1,04;0,70;0,55;0,53;0,52;0,49;0,40;;0,56;0,82;0,47;0,35;0,33;0,26;0,22;0,21
23;8,67;9,14;7,14;5,51;5,47;5,50;5,03;4,99;;8,72;9,13;7,01;5,98;5,71;5,82;4,98;5,04;;8,94;9,22;7,11;6,07;5,75;5,61;4,99;5,11;;-0,01;0,02;0,01;-0,01;-0,01;0,01;-0,01;-0,01;;0,00;0,02;0,00;0,01;0,00;0,01;0,01;0,01;;0,02;0,02;0,02;0,00;0,00;0,00;0,00;-0,01;;0,67;0,80;0,55;0,41;0,42;0,40;0,38;0,34;;0,86;1,03;0,69;0,54;0,54;0,50;0,49;0,37;;0,54;0,84;0,45;0,35;0,32;0,27;0,23;0,20
24;8,67;9,09;7,09;5,51;5,47;5,50;5,02;4,97;;8,64;9,11;6,94;5,98;5,69;5,82;4,97;5,03;;8,94;9,17;7,08;6,07;5,72;5,60;4,94;5,08;;0,01;0,00;0,00;-0,01;-0,01;0,01;-0,01;0,01;;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;;0,02;0,03;0,02;0,01;0,02;0,01;0,00;-0,01;;0,66;0,78;0,55;0,41;0,41;0,40;0,36;0,36;;0,86;1,03;0,70;0,55;0,52;0,51;0,49;0,38;;0,53;0,83;0,46;0,33;0,31;0,27;0,21;0,20
25;8,68;9,03;7,06;5,51;5,44;5,51;4,98;4,96;;8,58;9,09;6,91;5,96;5,68;5,82;4,98;5,03;;8,91;9,13;7,03;6,06;5,66;5,58;4,93;5,09;;0,00;0,02;0,01;0,00;-0,01;0,00;-0,01;0,01;;0,02;0,00;0,02;-0,01;0,01;-0,01;0,01;0,01;;0,00;0,01;0,01;0,00;0,01;-0,01;0,01;0,01;;0,67;0,78;0,53;0,41;0,40;0,40;0,37;0,35;;0,87;1,02;0,68;0,54;0,52;0,51;0,48;0,37;;0,55;0,82;0,47;0,35;0,31;0,26;0,23;0,20
26;8,68;8,95;7,03;5,50;5,43;5,50;4,97;4,95;;8,52;9,06;6,84;5,96;5,66;5,83;4,97;5,04;;8,91;9,09;6,99;6,03;5,64;5,56;4,90;5,06;;0,00;0,00;0,01;0,00;-0,01;0,01;0,01;0,01;;0,00;0,02;0,01;0,00;-0,01;0,01;0,01;-0,01;;0,02;0,02;0,00;0,01;0,01;0,01;0,00;-0,01;;0,67;0,77;0,53;0,41;0,41;0,42;0,38;0,35;;0,86;1,02;0,68;0,55;0,52;0,51;0,49;0,38;;0,53;0,81;0,46;0,35;0,33;0,24;0,21;0,22
27;8,68;8,91;6,98;5,51;5,43;5,51;4,96;4,95;;8,47;9,05;6,80;5,94;5,64;5,83;4,96;5,03;;8,89;9,06;6,96;6,03;5,62;5,54;4,87;5,07;;0,00;0,02;0,01;-0,01;-0,01;0,00;-0,01;-0,01;;0,01;0,00;0,00;0,01;0,00;0,01;-0,01;0,00;;0,00;0,03;0,01;0,01;0,00;0,00;0,01;-0,01;;0,65;0,78;0,53;0,41;0,39;0,42;0,38;0,36;;0,88;1,01;0,67;0,54;0,54;0,51;0,47;0,39;;0,53;0,80;0,47;0,34;0,31;0,24;0,22;0,21
28;8,66;8,84;6,94;5,48;5,42;5,48;4,95;4,94;;8,39;9,02;6,74;5,93;5,63;5,82;4,95;5,03;;8,87;9,02;6,91;6,02;5,59;5,50;4,85;5,05;;0,00;0,02;-0,01;0,01;0,01;-0,01;-0,01;0,01;;0,01;0,02;0,01;-0,01;0,01;-0,01;-0,01;-0,01;;0,01;0,03;0,02;0,01;0,02;-0,01;-0,01;0,01;;0,65;0,77;0,52;0,40;0,39;0,41;0,38;0,35;;0,85;1,01;0,68;0,55;0,54;0,50;0,48;0,39;;0,54;0,80;0,47;0,33;0,31;0,25;0,22;0,21
29;8,66;8,77;6,92;5,48;5,42;5,49;4,94;4,91;;8,34;8,98;6,69;5,93;5,61;5,81;4,93;5,03;;8,86;8,96;6,86;5,99;5,54;5,49;4,81;5,05;;0,00;0,02;0,01;0,01;0,00;-0,01;-0,01;0,01;;0,01;0,02;0,01;-0,01;-0,01;0,00;0,00;0,01;;0,02;0,01;0,00;0,00;0,00;0,01;0,00;0,01;;0,65;0,76;0,52;0,41;0,39;0,40;0,38;0,34;;0,85;1,01;0,69;0,55;0,52;0,48;0,47;0,39;;0,53;0,79;0,47;0,35;0,32;0,25;0,20;0,19
30;8,67;8,71;6,87;5,49;5,42;5,49;4,93;4,90;;8,28;8,96;6,64;5,93;5,59;5,81;4,93;5,04;;8,83;8,93;6,83;5,99;5,51;5,47;4,79;5,03;;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;;0,01;0,02;0,01;0,01;0,01;0,00;0,00;0,00;;0,65;0,77;0,53;0,41;0,40;0,41;0,37;0,35;;0,86;1,01;0,68;0,54;0,53;0,49;0,47;0,38;;0,54;0,77;0,46;0,34;0,32;0,24;0,21;0,20
